amfi_code,max_drawdown
119599,-0.5257422117012851
119095,-0.5167775370852656
101207,-0.3544691649336603
149324,-0.31171900300634214
119598,-0.2870600572176455
102886,-0.2800112356639287
100016,-0.24734440880673303
120842,-0.24003511326274884
118634,-0.2334488614483311
119093,-0.21751396370148224
102887,-0.21539827112383225
125498,-0.21117279560132118
119094,-0.20960883862039192
120506,-0.1982565826298267
118633,-0.18629743138595511
120505,-0.18188513572116294
120841,-0.1757361416468729
118632,-0.17414075086657232
149323,-0.17248105753451382
148569,-0.1639674294693263
100033,-0.16217208574644848
148568,-0.1527259422823477
125497,-0.15200013055606398
119551,-0.1501238549864533
149322,-0.14844576917771746
119092,-0.1440161790933726
120503,-0.13897862823061635
120843,-0.1297396816518679
120504,-0.12588275606922517
119552,-0.11803493502764295
118635,-0.1165062450540909
101206,-0.11291596329323073
148567,-0.11265729075028275
102885,-0.1085986215250232
118636,-0.08316361763638702
119120,-0.04328728923970093
100025,-0.04308263824636349
101208,-0.0016224980244717857
120844,-0.0011629327956168556
120507,-0.0009773140045925555
